6347 	20171030.112727 	20171030.153128 	 
6346 	20171029.112154 	20171030.044418 	 
6344 	20171028.202815 	20171029.012920 	 
6343 	20171028.061602 	20171028.180740 	
6341 	20171027.231936 	20171028.001601 	 
6337 	20171027.043635 	20171027.101039 	 	 
6317 	20171022.181449 	20171023.072020 	 
6315 	20171022.001002 	20171022.105945 	 
6314 	20171021.054215 	20171021.214433 	 
6313 	20171021.020007 	20171021.031833 	 
6312 	20171020.121018 	20171020.233308 	 
6311 	20171019.202644 	20171020.092152 	 
6309 	20171019.152703 	20171019.162157 	 
6308 	20171018.235737 	20171019.124359 	 
6307 	20171018.105855 	20171018.190805 	 
6306 	20171017.233310 	20171018.084022 	 
6305 	20171017.081716 	20171017.212000 	 
6303 	20171015.230548 	20171016.123358 	 
6300 	20171015.090401 	20171015.155600 	 
6298 	20171014.114347 	20171015.045122 	 
6297 	20171013.194919 	20171014.092612 	 
6295 	20171012.202125 	20171013.025101 	 
6294 	20171012.162315 	20171012.162510 	 
6291 	20171011.070312 	20171012.020148 	 
6288 	20171010.120716 	20171011.001341 	 
6287 	20171009.195206 	20171010.091535 	 
6285 	20171009.004201 	20171009.083455 	 
6284 	20171008.154839 	20171008.222916 	 
6283 	20171008.012417 	20171008.132639 	 
6279 	20171007.073446 	20171007.104207 	 
6278 	20171006.221409 	20171007.042512 	 
6276 	20171006.122926 	20171006.174018 	 
6275 	20171005.185210 	20171006.074404 	 
6272 	20171005.004551 	20171005.124657 	 
6271 	20171004.091911 	20171004.211317 	 
6269 	20171004.031640 	20171004.044115 	 
6268 	20171003.114819 	20171003.220650 	 
6266 	20171002.173908 	20171003.053528 	 
6263 	20171002.053234 	20171002.081927 	 
6262 	20171001.234015 	20171002.031624 	 
6261 	20171001.174537 	20171001.210054 	 
6259 	20170930.221044 	20171001.131244 	 
6258 	20170930.054253 	20170930.193925 	 
6255 	20170929.052646 	20170929.225845 	 
6253 	20170928.122742 	20170929.021047 	 
6252 	20170927.203610 	20170928.092136 	 
6247 	20170927.070342 	20170927.140511 	 
6245 	20170926.124625 	20170927.010224 	 
6243 	20170925.190811 	20170926.080538 	 
6241 	20170925.014718 	20170925.144408 	 
6240 	20170924.111106 	20170924.231727 	 
6239 	20170924.025548 	20170924.085006 	 
6238 	20170923.185157 	20170924.003808 	 
6236 	20170923.122100 	20170923.154731 	 
6230 	20170922.180233 	20170922.200741 	 
6194 	20170913.070830 	20170913.132341 	 
6193 	20170912.221929 	20170913.033653 	 
6192 	20170912.162206 	20170912.194114 	 
6191 	20170912.012049 	20170912.134216 	 
6189 	20170911.032740 	20170911.163248 	 
6186 	20170910.071110 	20170910.190602 	 
6185 	20170910.015800 	20170910.042949 	 
6182 	20170909.072039 	20170909.164705 	 
6180 	20170909.021741 	20170909.023912 	 
6179 	20170908.225605 	20170908.232005 	 
6177 	20170908.060336 	20170908.181529 	 
6176 	20170908.011826 	20170908.032045 	 
6175 	20170907.112553 	20170907.230521 	 
6174 	20170906.204745 	20170907.091059 	 
6171 	20170906.015618 	20170906.100554 	 
6170 	20170905.184545 	20170905.231729 	 
6169 	20170905.091543 	20170905.155956 	 
6168 	20170905.014804 	20170905.062157 	 
6167 	20170904.174204 	20170904.231229 	 
6165 	20170903.224353 	20170904.090826 	 
6161 	20170903.033038 	20170903.143010 	 
